 SR NO.,CUSTOMER NAME,MATERIAL TYPE,PART SIZE,CUSTOMER PART CODE,UOM,RECIVED QTY,DISPATCH QTY,BALANCE QTY,STOCK IN KG PER PIC,STOCK IN KG ,,
837,VE COMMERCIAL,VCI BAG,24 X 28,2370 pcs dump,PCS,2370,2370,0,0.09,0,,
838,VE COMMERCIAL,VCI BAG,6 X 7 X 75 MIC,D4416579,PCS,119300,28000,91300,0.004086,373.0518,,
839,VE COMMERCIAL,LD NAT,7 X 9 X 240,D4416600,PCS,5000,,5000,1,5000,,
840,VE COMMERCIAL,VCI BAG,8 X 20 90 MIC,,KGS,0,0,0,1,0,,
841,VE COMMERCIAL,VCI BAG,10 X 24 90 MIC,,PCS,2463,2463,0,0.00276,0,,
842,VE COMMERCIAL,VCI BAG,10 X 24 75 MIC,D4416601,PCS,0,0,0,0.003,0,,
843,VE COMMERCIAL,VCI BAG,9 X 9 X 270,D4416584,PCS,25945,8900,17045,0.009,153.405,,
844,VE COMMERCIAL,VCI BAG,7 X 10 90 MIC,,PCS,20875,1150,19725,0.0154,303.765,,
845,VE COMMERCIAL,VCI BLUE PLAIN,250 X 350 80 MIC,,PCS,0,,0,0.00676,0,,
846,VE COMMERCIAL,VCI BLUE PRINT,100 X 400 X 300,,PCS,35290,30000,5290,,,,
847,WIKA,VCI BAG,485 X 670 80 MIC,,PCS,4000,4000,0,0.04532,0,,
848,WIKA,VCI BAG,485 X 550 75 MIC,,PCS,4200,4200,0,0.0372,0,,
849,XPERT,VCI BLUE BAG,11.5 X 14 55 MIC,,PCS,0,0,0,0.01073,0,,
850,,LD BAG,7.5 X 11,4000 pcs. DUMP,PCS,4000,4000,0,0.001,0,,
851,,LD BAG WITH ZIP LOCK PRINTED,14 X 17,FOR B-PACK MAT.,PCS,3300,,3300,0.003,9.9,,
852,,LD BAG WITH ZIP LOCK PRINTED,4 X 6,FOR B-PACK MAT.,PCS,51800,51800,0,0.003,0,,
853,,LD BAG WITH ZIP LOCK PRINTED,17 X 18,FOR B-PACK MAT.,PCS,1000,,1000,0.004,4,,
854,,LD BAG WITH ZIP LOCK PRINTED,8 X 18,FOR B-PACK MAT.,PCS,5600,,5600,0.002,11.2,,
855,,LD BAG WITH ZIP LOCK PRINTED,10 X 12,FOR B-PACK MAT.,PCS,3500,,3500,0.002,7,,
856,,LD BAG WITH ZIP LOCK PRINTED,6 X 6,FOR B-PACK MAT.,PCS,5300,,5300,0.01,53,,
857,,LD BAG WITH ZIP LOCK PRINTED,4 X 6,FOR B-PACK MAT.,PCS,1300,,1300,,,,
858,,VCI BAG YELLOW PRINTED ,10 X 12,FOR B-PACK MAT.,PCS,7820,7820,0,0.0021,0,,
859,,LD NATURAL PRINTED,51 X 20 X 480,FOR B-PACK MAT.,PCS,3370,3370,0,0.014836,0,,
860,NYLON,ZIP LOCK POUCH BAG,14 X 16,,PCS,550,,550,,,,
861,RING PLUS,VCI BLUE PRINT,350 X 170 X 170 X 530,,PCS,169292,66150,103142,,0,,
862,SONIA FORGINGS,VCI BAG,5.5 X 7 X 208,,PCS,592125,592125,0,,,,
863,new,LD PRINTED BAG,300 x 480 x 320,,KGS,87,,87,TOTAL,63848.02312,,
